Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules
biospecimen_metadata_template,SysBio AD biospecimen metadata template schema,,"Component, individualID, specimenID, specimenIdSource, organ, tissue, isPostMortem, BrodmannArea, nucleicAcidSource, cellType, samplingAge, samplingAgeUnits, sampleStatus, fastingState, visitNumber, assay",,FALSE,DataType,,sysbio.metadataTemplates-ad.biospecimen,
individual_human_metadata_template,SysBio AD individual human metadata template schema,,"Component, individualID, individualIdSource, species, sex, race, ethnicity, yearsEducation, apoeGenotype, diagnosis, diagnosisCriteria, ageDeath, ageDeathUnits, causeDeath, mannerDeath, PMI, Braak, CERAD, brainWeight, pH",,FALSE,DataType,,sysbio.metadataTemplates-ad.individual.human,
manifest_metadata_template,AD manifest template schema,,"Component, path, parent, individualID, specimenID, isMultiSpecimen, assay, fileFormat, consortium, study, grant, resourceType, dataType, dataSubtype, metadataType, analysisType, isModelSystem, chromosome",,FALSE,DataType,,sysbio.metadataTemplates-ad.manifest,
assay_16SrRNAseq_metadata_template,SysBio 16SrRNAseq metadata template schema,,"Component, specimenID, assay, platform, dnaBatch, dnaExtractionMethod, libraryBatch, sequencingBatch, libraryPrep, readLength, runType, assayTarget",,FALSE,DataType,,sysbio.metadataTemplates-assay.sixteenSrRNAseq,
assay_ATACSeq_metadata_template,SysBio ATACseq metadata template schema,,"Component, specimenID, libraryID, assay, platform, referenceSet, transposaseBatch, libraryBatch, libraryPreparationMethod, pcrCycles, sequencingBatch, isStranded, readStrandOrigin, readLength, runType, meanCoverage, meanGCContent",,FALSE,DataType,,sysbio.metadataTemplates-assay.ATACSeq,
assay_autorad_metadata_template,SysBio autoradiography metadata template schema,,"Component, individualID, scanID, filename, platform, ageAssessment, ageAssessmentUnits",,FALSE,DataType,,sysbio.metadataTemplates-assay.autorad,
assay_bisulfiteSeq_metadata_template,SysBio bisulfiteSeq (aka WGBS) metadata template schema,,"Component, specimenID, libraryID, assay, platform, referenceSet, dnaBatch, libraryBatch, sequencingBatch, libraryPrep, libraryPreparationMethod, isStranded, readStrandOrigin, readLength, runType, totalReads, directionalBSseqLibrary, gDNAconc, lambdaDNAconc, pcrCycles, meanCoverage",,FALSE,DataType,,sysbio.metadataTemplates-assay.bisulfiteSeq,
assay_ChIPSeq_metadata_template,SysBio ChIPSeq metadata template schema,,"Component, specimenID, libraryID, assay, platform, referenceSet, libraryBatch, libraryPreparationMethod, sequencingBatch, assayTarget, antibody, vendor, catalogNumber, lotNumber, antibodyAmount, antibodyAmountUnits, chromatinAmount, chromatinAmountUnits, isStranded, readStrandOrigin, readLength, runType, totalReads",,FALSE,DataType,,sysbio.metadataTemplates-assay.ChIPSeq,
assay_HIC_metadata_template,SysBio HI-C metadata template schema,,"Component, specimenID, libraryID, assay, platform, referenceSet, libraryBatch, libraryPrep, libraryPreparationMethod, pcrCycles, sequencingBatch, readLength, runType, totalReads, validHiCContacts",,FALSE,DataType,,sysbio.metadataTemplates-assay.HIC,
assay_metabolomics_metadata_template,SysBio metabolomics metadata template schema,,"Component, specimenID, assay, batch, platform, platformLocation, ionMode, metaboliteType, batchSize, controlType, softwareName, spectrometerFrequency",,FALSE,DataType,,sysbio.metadataTemplates-assay.metabolomics,
assay_methylationArray_metadata_template,SysBio methylationArray metadata template schema,,"Component, specimenID, assay, platform, dnaBatch, arrayBatch, ratio260over280, ratio260over230, GQN, SentrixID, SentrixRowColumn",,FALSE,DataType,,sysbio.metadataTemplates-assay.methylationArray,
assay_MRI_metadata_template,SysBio MRI metadata template schema,,"Component, individualID, scanID, platform, MRItype, fieldStrength, filename, contrastAgent, ageAssessment, ageAssessmentUnits",,FALSE,DataType,,sysbio.metadataTemplates-assay.MRI,
assay_nanostring_metadata_template,SysBio nanostring metadata template schema,,"Component, specimenID, assay, platform, RIN, rnaBatch, libraryBatch, nanostringBatch, libraryPrep, libraryPreparationMethod, geneRLF, bindingDensity",,FALSE,DataType,,sysbio.metadataTemplates-assay.nanostring,
assay_PET_metadata_template,SysBio PET metadata template schema,,"Component, individualID, scanID, ligand, filename, platform, ageAssessment, ageAssessmentUnits",,FALSE,DataType,,sysbio.metadataTemplates-assay.PET,
assay_rnaArray_metadata_template,SysBio rnaArray metadata template schema,,"Component, specimenID, assay, RIN, platform, rnaBatch, arrayBatch",,FALSE,DataType,,sysbio.metadataTemplates-assay.rnaArray,
assay_rnaSeq_metadata_template,SysBio rnaSeq metadata template schema,,"Component, specimenID, libraryID, assay, platform, RIN, referenceSet, rnaBatch, libraryBatch, sequencingBatch, libraryPrep, libraryPreparationMethod, libraryVersion, isStranded, readStrandOrigin, readLength, runType, totalReads, validBarcodeReads",,FALSE,DataType,,sysbio.metadataTemplates-assay.rnaSeq,
